Datetime, Aggregationtime, Station, Lat, Lon, Alt, Qualityflag, Ta_200, P_container_NRT, SD
"1918-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-1.7,62.0,"NaN"
"1918-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.8,17.0,"NaN"
"1918-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.7,14.0,"NaN"
"1918-04","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",6.8,122.0,"NaN"
"1918-05","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",11.9,49.0,"NaN"
"1918-06","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",11.3,89.0,"NaN"
"1918-07","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",14.8,92.0,"NaN"
"1918-08","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",13.9,66.0,"NaN"
"1918-09","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",11.4,143.0,"NaN"
"1918-10","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",5.3,42.0,"NaN"
"1918-11","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",1.1,42.0,"NaN"
"1918-12","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.2,170.0,"NaN"
"1919-01","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-0.9,23.0,"NaN"
"1919-02","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",-2.2,31.0,"NaN"
"1919-03","s1m01","muensingen_apfelstetten","48.4072","9.4947","721","xxxxxxxxx",2.0,106.0,"NaN"
